@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {metal,dance}

@DATA
0.074466,0.061218,3.215221,0.139811,0.147100,0.867465,0.002853,0.145617,-21.896010,0.811994,0.710103,0.404526,0.494247,0.383124,0.052200,0.040724,0.182413,0.135172,-0.250123,0.213735,0.035804,0.012876,0.001553,0.083121,0.006434,0.016922,0.003236,0.032650,0.001630,0.002586,0.007881,0.054724,0.002386,0.035002,0.012681,0.019478,0.076694,0.011938,0.014826,0.152056,0.001283,0.022614,0.363692,0.229454,0.183250,0.192775,0.184391,0.177412,0.180541,0.190952,0.191642,0.185430,0.170762,0.165179,0.174788,0.011938,0.001029,0.051040,0.005723,0.014556,0.002209,0.029915,0.001119,0.002358,0.005623,0.036466,0.001623,0.010436,metal
0.097187,0.067348,3.223274,0.151981,0.143648,1.119980,0.002526,0.181748,-21.429117,0.800308,0.386216,0.290024,0.453776,0.268013,-0.010741,0.103060,0.226611,0.284005,-0.065642,0.165384,-0.064880,0.007573,0.002753,0.051708,0.005713,0.017835,0.003714,0.043429,0.001380,0.002797,0.008506,0.042584,0.005763,0.026348,0.018330,0.018383,0.071588,0.015423,0.013555,0.198920,0.000815,0.030203,0.329989,0.230432,0.223229,0.219150,0.181372,0.174771,0.175393,0.197562,0.198460,0.186779,0.159260,0.175326,0.167023,0.005619,0.001854,0.032553,0.004875,0.015087,0.002356,0.038712,0.000971,0.001666,0.005318,0.031295,0.004370,0.010058,metal
0.084701,0.031526,3.075281,0.141972,0.153179,0.811925,0.004252,0.129197,-22.696138,1.051919,0.432777,0.517561,0.334111,0.177919,0.267166,0.187054,0.034328,0.071726,-0.243028,-0.075765,-0.074057,0.020702,0.007027,0.045257,0.008227,0.016591,0.007174,0.036121,0.004897,0.003236,0.016366,0.035442,0.003047,0.021643,0.020761,0.018896,0.252953,0.020536,0.019828,0.270923,0.002226,0.045750,0.555884,0.422069,0.248684,0.235562,0.263491,0.206051,0.219026,0.233533,0.235043,0.226596,0.231895,0.247205,0.204051,0.022766,0.008311,0.025707,0.008736,0.011983,0.007645,0.035706,0.006717,0.003174,0.011518,0.027603,0.003031,0.008339,metal
0.075931,0.044876,3.119701,0.137482,0.151865,0.737796,0.004408,0.115554,-22.223659,1.105956,0.382271,0.555726,0.370401,0.239579,0.216702,0.112808,-0.086266,0.102477,-0.286808,-0.069999,-0.093451,0.017129,0.003965,0.049368,0.008846,0.023568,0.006646,0.037552,0.004513,0.004526,0.015768,0.033064,0.003439,0.022098,0.018411,0.025305,0.196103,0.018879,0.018115,0.241807,0.002102,0.039845,0.613423,0.374247,0.331824,0.256150,0.227163,0.201317,0.229044,0.208416,0.190037,0.211844,0.186646,0.179480,0.191401,0.019931,0.004038,0.028226,0.007886,0.015748,0.005751,0.026980,0.005750,0.003333,0.010620,0.026337,0.003309,0.008115,metal
0.100628,0.029745,3.174703,0.147812,0.146353,1.021112,0.003780,0.158559,-23.539781,0.418528,0.198180,0.236360,0.219039,0.149758,0.382298,0.335337,-0.047013,0.017645,-0.076104,0.021664,-0.024607,0.012445,0.004134,0.028954,0.011774,0.011490,0.009617,0.023144,0.005243,0.002206,0.011528,0.033752,0.003331,0.017720,0.029242,0.029652,0.139299,0.028216,0.021825,0.345461,0.002440,0.060163,1.284683,0.707170,0.332128,0.312013,0.297168,0.277741,0.256081,0.261907,0.272271,0.259530,0.253905,0.202403,0.170923,0.011006,0.004922,0.024165,0.013000,0.009227,0.011947,0.026828,0.006141,0.001699,0.011018,0.028987,0.004215,0.008738,metal
0.062867,0.024667,3.169858,0.123590,0.145677,0.579710,0.003755,0.098305,-23.490129,1.669543,0.105550,-0.525002,0.302982,0.397192,-0.275700,-0.138979,0.123404,0.060277,-0.009089,-0.094249,-0.086524,0.021444,0.004813,0.016253,0.016737,0.017589,0.009562,0.025628,0.003287,0.009734,0.022094,0.030848,0.010196,0.016920,0.017531,0.017682,0.139589,0.023764,0.026411,0.172431,0.001621,0.037313,1.274869,0.474592,0.276490,0.288364,0.214537,0.205708,0.203948,0.196215,0.181114,0.189818,0.172182,0.169294,0.164329,0.017166,0.005362,0.011694,0.016416,0.016074,0.006959,0.019439,0.003413,0.007827,0.018189,0.021380,0.010569,0.006025,metal
0.058505,0.039667,3.142511,0.136677,0.168521,0.476223,0.004197,0.075458,-22.324238,2.013168,0.323920,-0.146324,0.293121,0.342559,-0.197574,-0.029873,0.057215,-0.054989,-0.043729,0.004476,-0.016783,0.026329,0.004838,0.028792,0.013158,0.018271,0.008439,0.052921,0.002760,0.006275,0.017660,0.045892,0.007118,0.023630,0.021762,0.017654,0.112006,0.028679,0.023028,0.193662,0.002166,0.046099,0.646011,0.310629,0.276586,0.245650,0.246803,0.233777,0.232622,0.210670,0.198346,0.187236,0.208776,0.190904,0.176431,0.024532,0.005694,0.018739,0.012221,0.011670,0.007136,0.039950,0.004794,0.006792,0.012780,0.026602,0.007384,0.008624,metal
0.057512,0.056176,3.195649,0.131709,0.167591,0.477841,0.003887,0.078468,-21.547411,1.868159,0.294696,-0.222340,-0.002852,0.233856,-0.260700,0.012058,0.096286,-0.058760,0.022275,0.130457,-0.071529,0.017388,0.007097,0.025110,0.017528,0.014985,0.008899,0.046100,0.003067,0.009523,0.016905,0.027011,0.010385,0.018683,0.011201,0.018775,0.079598,0.021500,0.022892,0.125484,0.001350,0.021622,0.391776,0.244542,0.213161,0.229882,0.202649,0.195344,0.186190,0.194871,0.178784,0.161545,0.215154,0.213150,0.157974,0.016717,0.007352,0.016876,0.012003,0.009811,0.006692,0.036967,0.003747,0.007042,0.011055,0.018688,0.011085,0.008455,metal
0.095337,0.052162,3.138206,0.156993,0.151564,1.104595,0.002842,0.162998,-22.244242,0.620100,1.108622,0.616156,0.522321,0.317314,-0.027312,0.264504,0.046119,0.230533,0.033862,-0.102837,-0.024628,0.012811,0.001353,0.060435,0.004619,0.025679,0.002649,0.048077,0.001182,0.002274,0.009391,0.042877,0.001974,0.025307,0.016019,0.013824,0.105928,0.016219,0.016034,0.175767,0.000835,0.018372,0.370546,0.275580,0.172994,0.171370,0.177954,0.167165,0.175420,0.166536,0.154642,0.158434,0.158514,0.143578,0.143511,0.013314,0.000768,0.030929,0.002990,0.020587,0.001863,0.025124,0.000735,0.001606,0.010303,0.025830,0.001321,0.006096,metal
0.100047,0.061945,3.188594,0.163140,0.157330,1.148427,0.002623,0.169371,-21.642786,0.672664,0.720981,0.495124,0.545950,0.321562,0.046337,0.190059,-0.071664,0.149169,0.058183,0.011188,0.028098,0.012248,0.002747,0.048275,0.004842,0.024371,0.004185,0.039461,0.002815,0.003002,0.008735,0.038821,0.002463,0.020902,0.017941,0.015543,0.078835,0.014082,0.011716,0.210156,0.000729,0.026550,0.401100,0.284328,0.396431,0.234527,0.267043,0.193015,0.235896,0.198813,0.182096,0.180528,0.194451,0.200192,0.178641,0.010979,0.003886,0.027003,0.004206,0.018707,0.003198,0.023118,0.003701,0.002654,0.007301,0.022946,0.001976,0.006775,metal
